artist_name,is_explicit,danceability,valence,energy,loudness,acousticness,liveness,speechiness,key,tempo,mode,duration_ms,time_signature
1,TRUE,0.663,0.49,0.891,-8.774,0.00269,0.778,0.18,5,126.548,0,233376,4
2,FALSE,0.721,0.416,0.892,-8.606,0.0351,0.575,0.206,8,118.982,1,90816,4
2,FALSE,0.491,0.303,0.666,-7.338,0.028,0.503,0.111,5,138.672,0,111769,4
2,FALSE,0.472,0.475,0.821,-8.333,0.013,0.846,0.55,8,155.176,1,131185,4
1,FALSE,0.822,0.396,0.935,-7.741,0.011,0.379,0.345,11,97.018,0,263009,4
1,FALSE,0.639,0.572,0.93,-6.626,0.00563,0.956,0.171,6,96.94,0,207209,4
2,FALSE,0.564,0.433,0.424,-20.285,0.963,0.697,0.94,1,97.708,1,102412,5
1,FALSE,0.318,0.184,0.855,-8.415,0.0515,0.897,0.628,7,175.555,1,227216,4
1,FALSE,0.626,0.475,0.928,-9.326,0.00282,0.941,0.124,2,104.912,0,159116,4
1,TRUE,0.71,0.435,0.842,-5.424,0.0686,0.337,0.0944,6,102.994,0,240777,4
1,TRUE,0.656,0.196,0.741,-6.413,0.0134,0.269,0.0555,5,95.326,0,144661,4
1,FALSE,0.25,0.0746,0.215,-13.676,0.632,0.401,0.037,8,174.824,0,195987,3
1,TRUE,0.524,0.552,0.397,-11.936,0.745,0.521,0.405,0,80.744,1,221093,4
2,TRUE,0.614,0.645,0.686,-6.483,0.0105,0.184,0.21,9,136.537,0,233667,4
1,TRUE,0.775,0.356,0.598,-7.274,0.00175,0.253,0.0535,2,129.988,1,232560,4
2,TRUE,0.516,0.324,0.637,-8.832,0.0433,0.11,0.0632,6,138.011,1,260440,4
1,FALSE,0.643,0.598,0.503,-8.37,0.273,0.349,0.216,7,90.886,1,287987,4
1,FALSE,0.455,0.216,0.535,-10.602,0.0209,0.126,0.0426,9,157.01,0,237440,4
1,TRUE,0.33,0.101,0.357,-10.171,0.866,0.19,0.0348,10,84.119,1,182720,3
2,FALSE,0.387,0.0498,0.133,-15.633,0.947,0.107,0.0474,7,124.397,0,79200,4
2,FALSE,0.437,0.406,0.803,-6.412,0.0376,0.683,0.305,2,84.378,1,289760,4
1,FALSE,0.574,0.626,0.573,-7.079,0.392,0.0933,0.085,11,136.304,1,322000,4
1,TRUE,0.896,0.818,0.621,-6.857,0.00532,0.196,0.237,5,121.966,0,206080,4
1,TRUE,0.546,0.421,0.26,-12.573,0.942,0.128,0.125,1,155.033,1,204400,4
1,FALSE,0.512,0.2,0.624,-6.761,0.00305,0.346,0.0509,11,129.932,1,257653,4
1,TRUE,0.313,0.311,0.533,-9.416,0.103,0.507,0.166,1,66.93,0,369040,4
3,TRUE,0.583,0.399,0.621,-6.902,0.00972,0.181,0.0479,5,140.036,0,323480,4
1,FALSE,0.875,0.776,0.434,-7.683,0.242,0.233,0.091,0,120.067,1,309720,4
1,FALSE,0.57,0.509,0.467,-9.152,0.0421,0.125,0.171,9,111.58,0,228693,1
1,TRUE,0.418,0.172,0.441,-11.522,0.029,0.306,0.283,11,175.928,0,319467,4
1,FALSE,0.452,0.227,0.54,-10.087,0.122,0.0882,0.229,8,133.774,1,184013,4
1,TRUE,0.495,0.563,0.403,-9.732,0.499,0.7,0.299,1,140.365,1,391907,3
2,TRUE,0.557,0.0996,0.428,-11.306,0.0673,0.144,0.136,5,103.009,1,378600,4
1,FALSE,0.47,0.216,0.793,-8.929,0.164,0.313,0.26,0,170.1,1,215947,4
2,TRUE,0.476,0.353,0.688,-7.799,0.0953,0.438,0.245,1,140.555,1,250960,4
2,FALSE,0.525,0.185,0.334,-11.54,0.641,0.114,0.0686,0,80.307,1,276560,3
1,FALSE,0.346,0.0388,0.188,-12.688,0.573,0.108,0.0327,6,103.265,0,230893,4
2,FALSE,0.499,0.0643,0.434,-10.14,0.541,0.119,0.0608,6,90.322,1,266920,4
1,FALSE,0.747,0.56,0.705,-5.137,0.0128,0.126,0.126,9,136.024,0,213507,4
2,TRUE,0.64,0.457,0.659,-7.273,0.241,0.484,0.215,8,136.804,1,234413,4
2,TRUE,0.508,0.476,0.763,-3.58,0.16,0.118,0.0516,8,139.653,1,395987,4
1,FALSE,0.732,0.709,0.763,-6.732,0.0273,0.33,0.0729,0,98.011,1,180187,4
2,FALSE,0.872,0.763,0.445,-7.631,0.272,0.345,0.0936,2,120.029,0,309747,4
2,FALSE,0.664,0.409,0.808,-6.477,0.0225,0.259,0.0726,0,98.044,1,273480,4
1,FALSE,0.652,0.651,0.749,-5.248,0.0848,0.604,0.0886,0,94.103,1,267413,4
2,FALSE,0.648,0.719,0.593,-6.267,0.0188,0.169,0.0509,10,160.984,1,245480,4
1,FALSE,0.799,0.551,0.715,-5.481,0.0289,0.339,0.0819,4,124.04,1,293133,4
